Ragoût aux lentilles;Burgers coréens;Couscous grenade;Pita pois chiches;Tofu tandoori;Pâtes au citron;Tofu gingembre-orange;Tofu général tao;Farfalles aux tomates et ricotta;Enchiladas aux lentilles;Salade d'asperges;Chili verde;Steak;Burritos végés;Pad Thaï végé;Fajitas au tofu;Spaghetti;Tortellinis sauce rosée;Tofu au beurre
lentilles;tofu;pois chiches;pois chiches;tofu;pâtes;tofu;tofu;tofu;lentilles;fromage;fèves;viande;fèves;tofu;tofu;pâtes;pâtes;Tofu au beurre
1;2;1;0;2;0;1;0;2;2;1;0;2;1;2;0;1;1;2
Beurre;Tofu;Couscous;Pita;Tofu;Linguine;Tofu;Tofu;Tofu;Lentilles du Puy;Asperge;Fèves blanches;Filet mignon;Riz basmati brun;Tofu;Tofu;Spaghettis;Tortellinis au fromage;Oignon
1 Tsp;1;1.5 tasses;5;1;1;2;1;1;0.5 tasse;1 pck;1;2;0.75 tasse;2;1;1;2;1
Oignon;Cassonade;Orange;Tzatziki;Haloumi;Citron;Épinards;Brocolis;Farfalles;Feuille de laurier;Choux de Bruxelles;Fèves noires;Carotte;Tomate;Vermicelles;Tortillas;Sauce à spaghetti;Sauce rosée;Ail
4;0.5 tasse;3;1;1;1;1;1;1;3;1 pck;1;4;1;1;4;1;1;2
Carotte;Vinaigre riz;Citron;Petites tomates;Oignon rouge;Ail;Huile sésame;Poivron;Ail;Cheddar;Haricot vert;Oignon;Asperge;Oignon;Sauce poisson;Poivron;;;Gingembre
6;0.25 tasse;1;1;1;4;1 Tsp;1;2;100 g;1 pck;1;1 pck;1;4 Tsp;2;;;1 Tsp
Ail;Sauce soya;Huile d'olive;Épinards;Poivron;Huile d'olive;Graines sésame;Échalotte;Basilic;Poivron;Échalotte;Ail;;Lime;Paprika;Oignon;;;Piment broyé
5;2 Tsp;3 Tsp;1;1;1 Tsp;Un peu;8;1;1;6;2;;2;3 Tsp;2;;;0.25 tsp
Lentilles du Puy;Huile sésame;Harissa;Épices;Pâte tandoori;Fromage de chèvre;Échalotte;Fécule de maïs;Huile d'olive;Oignon rouge;Huile d'olive;Poudre de chili;;Jalapeno;Cassonade;Cheddar;;;Beurre
1.5 tasse;1 Tsp;1 Tsp;1;1;1;3;3 Tsp;2 Tsp;1;6 Tsp;1 Tsp;;1;5 Tsp;100 g;;;3 Tsp
Bouillon légume;Sriracha;Kale;;Huile d'olive;Petites tomates;Bouillon poulet;Huile sésame;Petites tomates;Salsa;Vinaigre balsamique;Salsa verde;;Ail;Échalotte française;Salsa;;;Paprika
1;1 tsp;1;;1 Tsp;1;0.5 tasse;1 Tsp;1;1;2 Tsp;1;;2;2;1;;;1.25 tsp
Pâte de tomates;Kimchi;Carotte;;;Basilic;Jus d'orange;Gingembre;Sucre;Poudre de chili;Origan séché;Huile d'olive;;Huile d'olive;Huile canola;Yogourt nature;;;Garam masala
0.5;1 tasse;2;;;1;0.25 tasse;3 Tsp;0.5 tsp;1 Tsp;0.5 tsp;2 Tsp;;2 Tsp;0.5 tasse;3 Tsp;;;1.25 tsp
Feuille de laurier;Huile d'olive;Poivron;;;Noix de grenoble;Marmelade orange;Cassonade;Vinaigre balsamique;Cumin;Fromage cottage;;;Fèves noires;Poireau;Épinards;;;Muscade
3;1 Tsp;1;;;1 poignée;Demi-pot;0.25 tasse;6 Tsp;0.5 Tsp;1;;;1;1;0.5;;;0.25 tsp
Thym frais;Pain hamburger;Échalotte française;;;;Sauce soya;Sauce hoisin;Harissa;Tortillas;Feta;;;Avocat;Œuf;;;;Tomates en dés
5 à 6 branches;4;1;;;;3 Tsp;3 Tsp;1 Tsp;8;1;;;2;4;;;;1
;;Pois chiches;;;;Fécule de maïs;Vinaigre blanc;Ricotta;;Noix de grenoble;;;Tortillas;Jus de lime;;;;Pâte de tomates
;;1;;;;1 tsp;3 Tsp;1;;0.5 tasse;;;6;3 Tsp;;;;1 Tsp
;;Cumin;;;;Gingembre;Ketchup;;;Aubergines marinées;;;Maïs en grain;Sriracha;;;;Crème 15%
;;5 mL;;;;2 Tsp;3 Tsp;;;0.5 tasse;;;1;1 Tsp;;;;0.75 tasse
;;Grenade;;;;Ail;Sauce soya;;;;;;Cheddar;Ail;;;;Tofu
;;2;;;;2;2 Tsp;;;;;;100 g;3;;;;2
;;;;;;;Sriracha;;;;;;Coriandre;Fèves germées;;;;Coriandre
;;;;;;;2 Tsp;;;;;;1;1;;;;0.25 tasse
;;;;;;;;;;;;;;Arachides;;;;
;;;;;;;;;;;;;;0.3 tasse;;;;
;;;;;;;;;;;;;;Lime;;;;
;;;;;;;;;;;;;;2;;;;
